| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005381| 0000000005008| 0000000000900| Tue Jan  4 21:31:51 2022
| 0000000005361| 0000000004782| 0000000000061| Tue Jan  4 21:31:51 2022
| 0000000005541| 0000000005264| 0000000000023| Tue Jan  4 21:31:51 2022
| 0000000005129| 0000000005402| 0000000000099| Tue Jan  4 21:31:51 2022
| 0000000005336| 0000000005411| 0000000000702| Tue Jan  4 21:31:51 2022
| 0000000005635| 0000000005090| 0000000000013| Tue Jan  4 21:31:51 2022
| 0000000005055| 0000000005076| 0000000000571| Tue Jan  4 21:31:51 2022
| 0000000004987| 0000000005072| 0000000000557| Tue Jan  4 21:31:51 2022
| 0000000005297| 0000000005097| 0000000000740| Tue Jan  4 21:31:51 2022
| 0000000004756| -000000000001| 0000000000402| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005479| 0000000004853| 0000000000682| Tue Jan  4 21:31:51 2022
| 0000000004966| 0000000004999| 0000000000099| Tue Jan  4 21:31:51 2022
| 0000000004882| 0000000005170| 0000000000290| Tue Jan  4 21:31:51 2022
| 0000000005030| 0000000004771| 0000000000890| Tue Jan  4 21:31:51 2022
| 0000000005576| 0000000005340| 0000000000737| Tue Jan  4 21:31:51 2022
| 0000000005427| 0000000005042| 0000000000651| Tue Jan  4 21:31:51 2022
| 0000000005095| 0000000005089| 0000000000795| Tue Jan  4 21:31:51 2022
| 0000000005369| 0000000005416| 0000000000580| Tue Jan  4 21:31:51 2022
| 0000000005748| 0000000005267| 0000000000072| Tue Jan  4 21:31:51 2022
| 0000000004757| -000000000001| 0000000000527| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004951| 0000000005135| 0000000000562| Tue Jan  4 21:31:51 2022
| 0000000005737| 0000000005167| 0000000000731| Tue Jan  4 21:31:51 2022
| 0000000005351| 0000000005093| 0000000000459| Tue Jan  4 21:31:51 2022
| 0000000004857| 0000000005422| 0000000000583| Tue Jan  4 21:31:51 2022
| 0000000005091| 0000000005610| 0000000000885| Tue Jan  4 21:31:51 2022
| 0000000005722| 0000000005645| 0000000000352| Tue Jan  4 21:31:51 2022
| 0000000004781| 0000000005130| 0000000000513| Tue Jan  4 21:31:51 2022
| 0000000005014| 0000000005134| 0000000000387| Tue Jan  4 21:31:51 2022
| 0000000005619| 0000000005096| 0000000000250| Tue Jan  4 21:31:51 2022
| 0000000004757| -000000000001| 0000000000521| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005205| 0000000005102| 0000000000517| Tue Jan  4 21:31:51 2022
| 0000000005175| 0000000005121| 0000000000765| Tue Jan  4 21:31:51 2022
| 0000000005509| 0000000005112| 0000000000186| Tue Jan  4 21:31:51 2022
| 0000000005302| 0000000005203| 0000000000363| Tue Jan  4 21:31:51 2022
| 0000000005298| 0000000005206| 0000000000404| Tue Jan  4 21:31:51 2022
| 0000000005517| 0000000005113| 0000000000724| Tue Jan  4 21:31:51 2022
| 0000000005063| 0000000005128| 0000000000513| Tue Jan  4 21:31:51 2022
| 0000000004985| 0000000005048| 0000000000253| Tue Jan  4 21:31:51 2022
| 0000000005628| 0000000005142| 0000000000427| Tue Jan  4 21:31:51 2022
| 0000000004756| -000000000001| 0000000000458| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005069| 0000000005026| 0000000000475| Tue Jan  4 21:31:51 2022
| 0000000005107| 0000000005369| 0000000000496| Tue Jan  4 21:31:51 2022
| 0000000005155| 0000000005135| 0000000000135| Tue Jan  4 21:31:51 2022
| 0000000005601| 0000000005408| 0000000000379| Tue Jan  4 21:31:51 2022
| 0000000005345| 0000000005283| 0000000000602| Tue Jan  4 21:31:51 2022
| 0000000005248| 0000000005645| 0000000000495| Tue Jan  4 21:31:51 2022
| 0000000004967| 0000000005166| 0000000000641| Tue Jan  4 21:31:51 2022
| 0000000005402| 0000000005073| 0000000000576| Tue Jan  4 21:31:51 2022
| 0000000004880| 0000000005133| 0000000000384| Tue Jan  4 21:31:51 2022
| 0000000004756| -000000000001| 0000000000460| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005458| 0000000005078| 0000000000197| Tue Jan  4 21:31:51 2022
| 0000000004844| 0000000005148| 0000000000172| Tue Jan  4 21:31:51 2022
| 0000000005351| 0000000005113| 0000000000007| Tue Jan  4 21:31:51 2022
| 0000000004958| 0000000005086| 0000000000404| Tue Jan  4 21:31:51 2022
| 0000000005493| 0000000005127| 0000000000355| Tue Jan  4 21:31:51 2022
| 0000000004987| 0000000005278| 0000000000394| Tue Jan  4 21:31:51 2022
| 0000000004779| 0000000005222| 0000000000392| Tue Jan  4 21:31:51 2022
| 0000000005299| 0000000005099| 0000000000525| Tue Jan  4 21:31:51 2022
| 0000000005370| 0000000004990| 0000000000190| Tue Jan  4 21:31:51 2022
| 0000000004757| -000000000001| 0000000000289| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005257| 0000000004796| 0000000000766| Tue Jan  4 21:31:51 2022
| 0000000005636| 0000000004795| 0000000000188| Tue Jan  4 21:31:51 2022
| 0000000005152| 0000000004968| 0000000000460| Tue Jan  4 21:31:51 2022
| 0000000005070| 0000000005163| 0000000000766| Tue Jan  4 21:31:51 2022
| 0000000005437| 0000000005212| 0000000000431| Tue Jan  4 21:31:51 2022
| 0000000005261| 0000000005104| 0000000000391| Tue Jan  4 21:31:51 2022
