| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034326| 0000000034056| 0000000000168| Mon Jan  3 14:39:33 2022
| 0000000034198| 0000000033926| 0000000000140| Mon Jan  3 14:39:33 2022
| 0000000034214| 0000000034061| 0000000000142| Mon Jan  3 14:39:33 2022
| 0000000034285| 0000000034024| 0000000000033| Mon Jan  3 14:39:33 2022
| 0000000034204| 0000000034029| 0000000000075| Mon Jan  3 14:39:33 2022
| 0000000034282| 0000000034054| 0000000000188| Mon Jan  3 14:39:33 2022
| 0000000034292| 0000000034315| 0000000000193| Mon Jan  3 14:39:33 2022
| 0000000034067| 0000000034044| 0000000000053| Mon Jan  3 14:39:33 2022
| 0000000033875| 0000000034052| 0000000000123| Mon Jan  3 14:39:33 2022
| 0000000033835| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034120| 0000000033844| 0000000000161| Mon Jan  3 14:39:33 2022
| 0000000034334| 0000000033882| 0000000000188| Mon Jan  3 14:39:33 2022
| 0000000033923| 0000000033982| 0000000000159| Mon Jan  3 14:39:33 2022
| 0000000033875| 0000000033988| 0000000000126| Mon Jan  3 14:39:33 2022
| 0000000034021| 0000000034053| 0000000000099| Mon Jan  3 14:39:33 2022
| 0000000034314| 0000000034076| 0000000000055| Mon Jan  3 14:39:33 2022
| 0000000034119| 0000000033949| 0000000000031| Mon Jan  3 14:39:33 2022
| 0000000033981| 0000000034060| 0000000000084| Mon Jan  3 14:39:33 2022
| 0000000033961| 0000000034062| 0000000000085| Mon Jan  3 14:39:33 2022
| 0000000033834| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034332| 0000000033932| 0000000000002| Mon Jan  3 14:39:37 2022
| 0000000033956| 0000000034118| 0000000000198| Mon Jan  3 14:39:33 2022
| 0000000034336| 0000000034134| 0000000000007| Mon Jan  3 14:39:37 2022
| 0000000033930| 0000000033851| 0000000000139| Mon Jan  3 14:39:33 2022
| 0000000034035| 0000000033922| 0000000000011| Mon Jan  3 14:39:37 2022
| 0000000033911| 0000000034002| 0000000000130| Mon Jan  3 14:39:33 2022
| 0000000034280| 0000000033906| 0000000000010| Mon Jan  3 14:39:37 2022
| 0000000034310| 0000000033870| 0000000000084| Mon Jan  3 14:39:33 2022
| 0000000034289| 0000000033998| 0000000000005| Mon Jan  3 14:39:37 2022
| 0000000033835| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034335| 0000000033904| 0000000000148| Mon Jan  3 14:39:33 2022
| 0000000033863| 0000000033996| 0000000000036| Mon Jan  3 14:39:33 2022
| 0000000033861| 0000000033958| 0000000000142| Mon Jan  3 14:39:33 2022
| 0000000034317| 0000000033984| 0000000000027| Mon Jan  3 14:39:33 2022
| 0000000034060| 0000000033991| 0000000000174| Mon Jan  3 14:39:33 2022
| 0000000034172| 0000000034051| 0000000000170| Mon Jan  3 14:39:33 2022
| 0000000034134| 0000000034169| 0000000000120| Mon Jan  3 14:39:33 2022
| 0000000033920| 0000000033900| 0000000000002| Mon Jan  3 14:39:33 2022
| 0000000033953| 0000000034070| 0000000000133| Mon Jan  3 14:39:33 2022
| 0000000033838| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034098| 0000000034150| 0000000000040| Mon Jan  3 14:39:33 2022
| 0000000034158| 0000000034289| 0000000000003| Mon Jan  3 14:39:37 2022
| 0000000034177| 0000000034155| 0000000000104| Mon Jan  3 14:39:33 2022
| 0000000034049| 0000000034042| 0000000000021| Mon Jan  3 14:39:37 2022
| 0000000034329| 0000000034163| 0000000000197| Mon Jan  3 14:39:33 2022
| 0000000034257| 0000000034264| 0000000000001| Mon Jan  3 14:39:37 2022
| 0000000034133| 0000000033879| 0000000000192| Mon Jan  3 14:39:33 2022
| 0000000034206| 0000000034093| 0000000000012| Mon Jan  3 14:39:37 2022
| 0000000033870| 0000000034136| 0000000000137| Mon Jan  3 14:39:33 2022
| 0000000033835| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000034024| 0000000034049| 0000000000015| Mon Jan  3 14:39:37 2022
| 0000000034268| 0000000034033| 0000000000183| Mon Jan  3 14:39:33 2022
| 0000000033900| 0000000034145| 0000000000009| Mon Jan  3 14:39:37 2022
| 0000000033961| 0000000034040| 0000000000188| Mon Jan  3 14:39:33 2022
| 0000000034177| 0000000034094| 0000000000005| Mon Jan  3 14:39:37 2022
| 0000000033987| 0000000034107| 0000000000018| Mon Jan  3 14:39:33 2022
| 0000000034021| 0000000033972| 0000000000014| Mon Jan  3 14:39:37 2022
| 0000000034237| 0000000033857| 0000000000063| Mon Jan  3 14:39:33 2022
| 0000000034002| 0000000034250| 0000000000016| Mon Jan  3 14:39:37 2022
| 0000000033834| -000000000001| 0000000000009| Mon Jan  3 14:39:37 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000033884| 0000000033878| 0000000000087| Mon Jan  3 14:39:33 2022
| 0000000033850| 0000000033848| 0000000000052| Mon Jan  3 14:39:33 2022
| 0000000033923| 0000000033999| 0000000000011| Mon Jan  3 14:39:33 2022
| 0000000034306| 0000000034003| 0000000000080| Mon Jan  3 14:39:33 2022
| 0000000034096| 0000000034008| 0000000000160| Mon Jan  3 14:39:33 2022
| 0000000033948| 0000000034012| 0000000000134| Mon Jan  3 14:39:33 2022
| 0000000033973| 0000000034069| 0000000000081| Mon Jan  3 14:39:33 2022
