| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031641| 0000000031645| 0000000000473| Thu Jan  6 02:33:03 2022
| 0000000031641| 0000000031651| 0000000000490| Thu Jan  6 02:33:03 2022
| 0000000031643| 0000000031646| 0000000000211| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031641| 0000000000202| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031648| 0000000000183| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031651| 0000000000139| Thu Jan  6 02:33:03 2022
| 0000000031641| 0000000031645| 0000000000051| Thu Jan  6 02:33:03 2022
| 0000000031639| 0000000031647| 0000000000042| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031639| 0000000000167| Thu Jan  6 02:33:03 2022
| 0000000031630| -000000000001| 0000000000017| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031648| 0000000031643| 0000000000439| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031646| 0000000000492| Thu Jan  6 02:33:03 2022
| 0000000031644| 0000000031656| 0000000000012| Thu Jan  6 02:33:03 2022
| 0000000031644| 0000000031647| 0000000000168| Thu Jan  6 02:33:03 2022
| 0000000031644| 0000000031645| 0000000000085| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031655| 0000000000113| Thu Jan  6 02:33:03 2022
| 0000000031640| 0000000031651| 0000000000140| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031638| 0000000000058| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031653| 0000000000224| Thu Jan  6 02:33:03 2022
| 0000000031634| -000000000001| 0000000000016| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031654| 0000000031649| 0000000000444| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031654| 0000000000353| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031638| 0000000000294| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031653| 0000000000070| Thu Jan  6 02:33:03 2022
| 0000000031652| 0000000031646| 0000000000065| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031643| 0000000000124| Thu Jan  6 02:33:03 2022
| 0000000031640| 0000000031649| 0000000000161| Thu Jan  6 02:33:03 2022
| 0000000031653| 0000000031650| 0000000000151| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031643| 0000000000162| Thu Jan  6 02:33:03 2022
| 0000000031633| -000000000001| 0000000000015| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031650| 0000000031648| 0000000000423| Thu Jan  6 02:33:03 2022
| 0000000031640| 0000000031650| 0000000000330| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031641| 0000000000252| Thu Jan  6 02:33:03 2022
| 0000000031646| 0000000031655| 0000000000273| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031639| 0000000000410| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031638| 0000000000090| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031653| 0000000000092| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031654| 0000000000096| Thu Jan  6 02:33:03 2022
| 0000000031640| 0000000031651| 0000000000300| Thu Jan  6 02:33:03 2022
| 0000000031628| -000000000001| 0000000000021| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031648| 0000000031641| 0000000000286| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031652| 0000000000263| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031639| 0000000000019| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031645| 0000000000255| Thu Jan  6 02:33:03 2022
| 0000000031652| 0000000031651| 0000000000159| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031652| 0000000000286| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031640| 0000000000400| Thu Jan  6 02:33:03 2022
| 0000000031639| 0000000031650| 0000000000221| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031655| 0000000000201| Thu Jan  6 02:33:03 2022
| 0000000031636| -000000000001| 0000000000018| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031638| 0000000031642| 0000000000472| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031655| 0000000000382| Thu Jan  6 02:33:03 2022
| 0000000031640| 0000000031653| 0000000000305| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031640| 0000000000105| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031654| 0000000000255| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031644| 0000000000083| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031642| 0000000000038| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031639| 0000000000110| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031652| 0000000000096| Thu Jan  6 02:33:03 2022
| 0000000031631| -000000000001| 0000000000017| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031645| 0000000031644| 0000000000101| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031642| 0000000000252| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031643| 0000000000120| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031644| 0000000000300| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031645| 0000000000033| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031647| 0000000000219| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031642| 0000000000056| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031646| 0000000000031| Thu Jan  6 02:33:03 2022
| 0000000031638| 0000000031646| 0000000000055| Thu Jan  6 02:33:03 2022
| 0000000031632| -000000000001| 0000000000013| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031642| 0000000031656| 0000000000335| Thu Jan  6 02:33:03 2022
| 0000000031653| 0000000031654| 0000000000118| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031641| 0000000000101| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031646| 0000000000069| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031641| 0000000000451| Thu Jan  6 02:33:03 2022
| 0000000031643| 0000000031640| 0000000000442| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031654| 0000000000207| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031653| 0000000000184| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031648| 0000000000346| Thu Jan  6 02:33:03 2022
| 0000000031637| -000000000001| 0000000000020| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031656| 0000000031638| 0000000000385| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031639| 0000000000061| Thu Jan  6 02:33:03 2022
| 0000000031653| 0000000031648| 0000000000149| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031650| 0000000000183| Thu Jan  6 02:33:03 2022
| 0000000031643| 0000000031649| 0000000000073| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031652| 0000000000135| Thu Jan  6 02:33:03 2022
| 0000000031652| 0000000031648| 0000000000071| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031639| 0000000000172| Thu Jan  6 02:33:03 2022
