| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023203| 0000000023199| 0000000000051| Mon Jan 24 19:04:56 2022
| 0000000023222| 0000000023224| 0000000000290| Mon Jan 24 19:04:56 2022
| 0000000023244| 0000000023225| 0000000000020| Mon Jan 24 19:04:56 2022
| 0000000023204| 0000000023210| 0000000000458| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000008| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023208| 0000000023191| 0000000000439| Mon Jan 24 19:04:56 2022
| 0000000023223| 0000000023181| 0000000000156| Mon Jan 24 19:04:56 2022
| 0000000023203| 0000000023182| 0000000000375| Mon Jan 24 19:04:56 2022
| 0000000023172| 0000000023255| 0000000000369| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023175| 0000000023170| 0000000000267| Mon Jan 24 19:04:56 2022
| 0000000023167| 0000000023183| 0000000000443| Mon Jan 24 19:04:56 2022
| 0000000023172| 0000000023230| 0000000000450| Mon Jan 24 19:04:56 2022
| 0000000023244| 0000000023227| 0000000000167| Mon Jan 24 19:04:56 2022
| 0000000023156| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023210| 0000000023246| 0000000000407| Mon Jan 24 19:04:56 2022
| 0000000023170| 0000000023231| 0000000000354| Mon Jan 24 19:04:56 2022
| 0000000023226| 0000000023213| 0000000000481| Mon Jan 24 19:04:56 2022
| 0000000023260| 0000000023251| 0000000000406| Mon Jan 24 19:04:56 2022
| 0000000023159| -000000000001| 0000000000015| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023221| 0000000023174| 0000000000285| Mon Jan 24 19:04:56 2022
| 0000000023255| 0000000023214| 0000000000302| Mon Jan 24 19:04:56 2022
| 0000000023245| 0000000023211| 0000000000036| Mon Jan 24 19:04:56 2022
| 0000000023212| 0000000023180| 0000000000492| Mon Jan 24 19:04:56 2022
| 0000000023158| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023186| 0000000023239| 0000000000461| Mon Jan 24 19:04:56 2022
| 0000000023209| 0000000023177| 0000000000383| Mon Jan 24 19:04:56 2022
| 0000000023175| 0000000023258| 0000000000308| Mon Jan 24 19:04:56 2022
| 0000000023247| 0000000023163| 0000000000489| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023198| 0000000023260| 0000000000424| Mon Jan 24 19:04:56 2022
| 0000000023243| 0000000023166| 0000000000443| Mon Jan 24 19:04:56 2022
| 0000000023184| 0000000023250| 0000000000379| Mon Jan 24 19:04:56 2022
| 0000000023207| 0000000023212| 0000000000379| Mon Jan 24 19:04:56 2022
| 0000000023161| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023204| 0000000023218| 0000000000297| Mon Jan 24 19:04:56 2022
| 0000000023220| 0000000023202| 0000000000281| Mon Jan 24 19:04:56 2022
| 0000000023238| 0000000023208| 0000000000251| Mon Jan 24 19:04:56 2022
| 0000000023208| 0000000023184| 0000000000343| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023227| 0000000023203| 0000000000384| Mon Jan 24 19:04:56 2022
| 0000000023257| 0000000023189| 0000000000416| Mon Jan 24 19:04:56 2022
| 0000000023177| 0000000023195| 0000000000268| Mon Jan 24 19:04:56 2022
| 0000000023244| 0000000023192| 0000000000458| Mon Jan 24 19:04:56 2022
