| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005412| 0000000005436| 0000000000371| Sun Jan  9 11:04:11 2022
| 0000000005409| 0000000005413| 0000000000315| Sun Jan  9 11:04:11 2022
| 0000000005495| 0000000005473| 0000000000448| Sun Jan  9 11:04:11 2022
| 0000000005479| 0000000005408| 0000000000270| Sun Jan  9 11:04:11 2022
| 0000000005466| 0000000005441| 0000000000390| Sun Jan  9 11:04:11 2022
| 0000000005460| 0000000005457| 0000000000270| Sun Jan  9 11:04:11 2022
| 0000000005488| 0000000005452| 0000000000010| Sun Jan  9 11:04:11 2022
| 0000000005420| 0000000005495| 0000000000486| Sun Jan  9 11:04:11 2022
| 0000000005491| 0000000005418| 0000000000332| Sun Jan  9 11:04:11 2022
| 0000000005393| -000000000001| 0000000000025| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005466| 0000000005431| 0000000000240| Sun Jan  9 11:04:11 2022
| 0000000005494| 0000000005459| 0000000000346| Sun Jan  9 11:04:11 2022
| 0000000005484| 0000000005448| 0000000000483| Sun Jan  9 11:04:11 2022
| 0000000005421| 0000000005412| 0000000000131| Sun Jan  9 11:04:11 2022
| 0000000005455| 0000000005472| 0000000000281| Sun Jan  9 11:04:11 2022
| 0000000005488| 0000000005480| 0000000000366| Sun Jan  9 11:04:11 2022
| 0000000005464| 0000000005451| 0000000000409| Sun Jan  9 11:04:11 2022
| 0000000005404| 0000000005403| 0000000000246| Sun Jan  9 11:04:11 2022
| 0000000005483| 0000000005424| 0000000000250| Sun Jan  9 11:04:11 2022
| 0000000005396| -000000000001| 0000000000023| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005421| 0000000005476| 0000000000485| Sun Jan  9 11:04:11 2022
| 0000000005433| 0000000005478| 0000000000433| Sun Jan  9 11:04:11 2022
| 0000000005437| 0000000005425| 0000000000455| Sun Jan  9 11:04:11 2022
| 0000000005423| 0000000005419| 0000000000393| Sun Jan  9 11:04:11 2022
| 0000000005446| 0000000005481| 0000000000455| Sun Jan  9 11:04:11 2022
| 0000000005447| 0000000005423| 0000000000069| Sun Jan  9 11:04:11 2022
| 0000000005470| 0000000005487| 0000000000211| Sun Jan  9 11:04:11 2022
| 0000000005502| 0000000005479| 0000000000465| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005416| 0000000000441| Sun Jan  9 11:04:11 2022
| 0000000005399| -000000000001| 0000000000030| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005403| 0000000005460| 0000000000269| Sun Jan  9 11:04:11 2022
| 0000000005451| 0000000005470| 0000000000321| Sun Jan  9 11:04:11 2022
| 0000000005407| 0000000005409| 0000000000354| Sun Jan  9 11:04:11 2022
| 0000000005464| 0000000005406| 0000000000414| Sun Jan  9 11:04:11 2022
| 0000000005497| 0000000005427| 0000000000410| Sun Jan  9 11:04:11 2022
| 0000000005475| 0000000005466| 0000000000242| Sun Jan  9 11:04:11 2022
| 0000000005422| 0000000005488| 0000000000234| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005468| 0000000000259| Sun Jan  9 11:04:11 2022
| 0000000005433| 0000000005477| 0000000000071| Sun Jan  9 11:04:11 2022
| 0000000005402| -000000000001| 0000000000023| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005411| 0000000005410| 0000000000228| Sun Jan  9 11:04:11 2022
| 0000000005422| 0000000005440| 0000000000227| Sun Jan  9 11:04:11 2022
| 0000000005436| 0000000005404| 0000000000444| Sun Jan  9 11:04:11 2022
| 0000000005488| 0000000005483| 0000000000339| Sun Jan  9 11:04:11 2022
| 0000000005451| 0000000005484| 0000000000348| Sun Jan  9 11:04:11 2022
| 0000000005471| 0000000005474| 0000000000360| Sun Jan  9 11:04:11 2022
| 0000000005498| 0000000005485| 0000000000101| Sun Jan  9 11:04:11 2022
| 0000000005480| 0000000005428| 0000000000287| Sun Jan  9 11:04:11 2022
| 0000000005478| 0000000005434| 0000000000153| Sun Jan  9 11:04:11 2022
| 0000000005400| -000000000001| 0000000000021| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005464| 0000000005438| 0000000000308| Sun Jan  9 11:04:11 2022
| 0000000005496| 0000000005446| 0000000000145| Sun Jan  9 11:04:11 2022
| 0000000005430| 0000000005420| 0000000000441| Sun Jan  9 11:04:11 2022
| 0000000005424| 0000000005467| 0000000000422| Sun Jan  9 11:04:11 2022
| 0000000005424| 0000000005455| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005483| 0000000005444| 0000000000391| Sun Jan  9 11:04:11 2022
