| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020660| 0000000020035| 0000000000313| Sun Jan  9 17:36:17 2022
| 0000000020631| 0000000019886| 0000000000287| Sun Jan  9 17:36:17 2022
| 0000000020088| 0000000019896| 0000000000428| Sun Jan  9 17:36:17 2022
| 0000000020141| 0000000019911| 0000000000233| Sun Jan  9 17:36:17 2022
| 0000000020468| 0000000020087| 0000000000261| Sun Jan  9 17:36:17 2022
| 0000000020240| 0000000020089| 0000000000408| Sun Jan  9 17:36:17 2022
| 0000000020132| 0000000019952| 0000000000372| Sun Jan  9 17:36:17 2022
| 0000000020317| 0000000020018| 0000000000366| Sun Jan  9 17:36:17 2022
| 0000000020633| 0000000019783| 0000000000456| Sun Jan  9 17:36:17 2022
| 0000000019772| -000000000001| 0000000000027| Sun Jan  9 17:36:17 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020135| 0000000020041| 0000000000467| Sun Jan  9 17:36:17 2022
| 0000000020231| 0000000019922| 0000000000163| Sun Jan  9 17:36:17 2022
| 0000000020717| 0000000019936| 0000000000251| Sun Jan  9 17:36:17 2022
| 0000000019920| 0000000020129| 0000000000442| Sun Jan  9 17:36:17 2022
| 0000000020600| 0000000020022| 0000000000345| Sun Jan  9 17:36:17 2022
| 0000000020566| 0000000020272| 0000000000385| Sun Jan  9 17:36:17 2022
| 0000000019881| 0000000020276| 0000000000304| Sun Jan  9 17:36:17 2022
| 0000000020721| 0000000019996| 0000000000332| Sun Jan  9 17:36:17 2022
| 0000000020140| 0000000020092| 0000000000259| Sun Jan  9 17:36:17 2022
| 0000000019770| -000000000001| 0000000000025| Sun Jan  9 17:36:17 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020128| 0000000020109| 0000000000379| Sun Jan  9 17:36:17 2022
| 0000000020714| 0000000020115| 0000000000478| Sun Jan  9 17:36:17 2022
| 0000000019820| 0000000019830| 0000000000124| Sun Jan  9 17:36:17 2022
| 0000000019993| 0000000020396| 0000000000431| Sun Jan  9 17:36:17 2022
| 0000000020330| 0000000020136| 0000000000480| Sun Jan  9 17:36:17 2022
| 0000000020224| 0000000020515| 0000000000255| Sun Jan  9 17:36:17 2022
| 0000000020687| 0000000020281| 0000000000407| Sun Jan  9 17:36:17 2022
| 0000000020377| 0000000020526| 0000000000432| Sun Jan  9 17:36:17 2022
| 0000000020132| 0000000019887| 0000000000058| Sun Jan  9 17:36:17 2022
| 0000000019770| -000000000001| 0000000000027| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019853| 0000000019945| 0000000000388| Sun Jan  9 17:36:17 2022
| 0000000020292| 0000000020048| 0000000000401| Sun Jan  9 17:36:17 2022
| 0000000020026| 0000000020050| 0000000000001| Sun Jan  9 17:36:17 2022
| 0000000019974| 0000000019951| 0000000000438| Sun Jan  9 17:36:17 2022
| 0000000020364| 0000000019957| 0000000000152| Sun Jan  9 17:36:17 2022
| 0000000020328| 0000000020263| 0000000000356| Sun Jan  9 17:36:17 2022
| 0000000020218| 0000000020206| 0000000000049| Sun Jan  9 17:36:17 2022
| 0000000020402| 0000000020132| 0000000000283| Sun Jan  9 17:36:17 2022
| 0000000020768| 0000000020251| 0000000000098| Sun Jan  9 17:36:17 2022
| 0000000019766| -000000000001| 0000000000020| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020513| 0000000020028| 0000000000385| Sun Jan  9 17:36:17 2022
| 0000000020445| 0000000020034| 0000000000282| Sun Jan  9 17:36:17 2022
| 0000000020558| 0000000020038| 0000000000485| Sun Jan  9 17:36:17 2022
| 0000000020260| 0000000020082| 0000000000363| Sun Jan  9 17:36:17 2022
| 0000000020127| 0000000019932| 0000000000288| Sun Jan  9 17:36:17 2022
| 0000000019857| 0000000019974| 0000000000362| Sun Jan  9 17:36:17 2022
| 0000000020028| 0000000020134| 0000000000403| Sun Jan  9 17:36:17 2022
| 0000000019806| 0000000019814| 0000000000370| Sun Jan  9 17:36:17 2022
| 0000000019838| 0000000020013| 0000000000285| Sun Jan  9 17:36:17 2022
| 0000000019767| -000000000001| 0000000000026| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020717| 0000000020036| 0000000000462| Sun Jan  9 17:36:17 2022
| 0000000020199| 0000000019815| 0000000000351| Sun Jan  9 17:36:17 2022
| 0000000020615| 0000000020027| 0000000000456| Sun Jan  9 17:36:17 2022
| 0000000020152| 0000000019847| 0000000000281| Sun Jan  9 17:36:17 2022
| 0000000019984| 0000000020037| 0000000000342| Sun Jan  9 17:36:17 2022
| 0000000020210| 0000000020273| 0000000000273| Sun Jan  9 17:36:17 2022
| 0000000020703| 0000000020351| 0000000000039| Sun Jan  9 17:36:17 2022
| 0000000019987| 0000000019781| 0000000000349| Sun Jan  9 17:36:17 2022
| 0000000020553| 0000000020389| 0000000000354| Sun Jan  9 17:36:17 2022
| 0000000019764| -000000000001| 0000000000025| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020565| 0000000020056| 0000000000249| Sun Jan  9 17:36:17 2022
| 0000000020645| 0000000019913| 0000000000349| Sun Jan  9 17:36:17 2022
| 0000000020406| 0000000019782| 0000000000025| Sun Jan  9 17:36:17 2022
| 0000000020349| 0000000020113| 0000000000292| Sun Jan  9 17:36:17 2022
| 0000000020410| 0000000020379| 0000000000489| Sun Jan  9 17:36:17 2022
| 0000000020155| 0000000020394| 0000000000186| Sun Jan  9 17:36:17 2022
| 0000000020080| 0000000020254| 0000000000402| Sun Jan  9 17:36:17 2022
| 0000000020266| 0000000020011| 0000000000264| Sun Jan  9 17:36:17 2022
| 0000000020496| 0000000019788| 0000000000173| Sun Jan  9 17:36:17 2022
| 0000000019767| -000000000001| 0000000000020| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020147| 0000000019949| 0000000000251| Sun Jan  9 17:36:17 2022
| 0000000020635| 0000000019840| 0000000000462| Sun Jan  9 17:36:17 2022
| 0000000019853| 0000000019810| 0000000000407| Sun Jan  9 17:36:17 2022
| 0000000020459| 0000000020097| 0000000000304| Sun Jan  9 17:36:17 2022
| 0000000020581| 0000000020007| 0000000000431| Sun Jan  9 17:36:17 2022
| 0000000020559| 0000000019804| 0000000000369| Sun Jan  9 17:36:17 2022
| 0000000019873| 0000000020044| 0000000000375| Sun Jan  9 17:36:17 2022
| 0000000019866| 0000000020275| 0000000000040| Sun Jan  9 17:36:17 2022
| 0000000020088| 0000000020339| 0000000000378| Sun Jan  9 17:36:17 2022
| 0000000019771| -000000000001| 0000000000027| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020097| 0000000019940| 0000000000414| Sun Jan  9 17:36:17 2022
| 0000000019907| 0000000020123| 0000000000324| Sun Jan  9 17:36:17 2022
| 0000000020693| 0000000020126| 0000000000436| Sun Jan  9 17:36:17 2022
| 0000000020334| 0000000019915| 0000000000176| Sun Jan  9 17:36:17 2022
| 0000000019866| 0000000020013| 0000000000292| Sun Jan  9 17:36:17 2022
| 0000000019889| 0000000019808| 0000000000308| Sun Jan  9 17:36:17 2022
| 0000000019932| 0000000020764| 0000000000476| Sun Jan  9 17:36:17 2022
| 0000000020001| 0000000020174| 0000000000338| Sun Jan  9 17:36:17 2022
| 0000000020688| 0000000020036| 0000000000149| Sun Jan  9 17:36:17 2022
| 0000000019770| -000000000001| 0000000000025| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019805| 0000000019848| 0000000000357| Sun Jan  9 17:36:17 2022
| 0000000020249| 0000000020025| 0000000000363| Sun Jan  9 17:36:17 2022
| 0000000020170| 0000000019880| 0000000000432| Sun Jan  9 17:36:17 2022
| 0000000020170| 0000000020057| 0000000000274| Sun Jan  9 17:36:17 2022
| 0000000020430| 0000000019850| 0000000000166| Sun Jan  9 17:36:17 2022
| 0000000020103| 0000000019926| 0000000000226| Sun Jan  9 17:36:17 2022
| 0000000019931| 0000000019816| 0000000000314| Sun Jan  9 17:36:17 2022
| 0000000020301| 0000000020000| 0000000000381| Sun Jan  9 17:36:17 2022
| 0000000020728| 0000000020265| 0000000000292| Sun Jan  9 17:36:17 2022
| 0000000019763| -000000000001| 0000000000023| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019960| 0000000019998| 0000000000266| Sun Jan  9 17:36:17 2022
| 0000000020706| 0000000019846| 0000000000396| Sun Jan  9 17:36:17 2022
| 0000000020027| 0000000019862| 0000000000471| Sun Jan  9 17:36:17 2022
| 0000000020709| 0000000019915| 0000000000251| Sun Jan  9 17:36:17 2022
| 0000000020388| 0000000019849| 0000000000472| Sun Jan  9 17:36:17 2022
| 0000000020000| 0000000019948| 0000000000262| Sun Jan  9 17:36:17 2022
| 0000000019943| 0000000020010| 0000000000417| Sun Jan  9 17:36:17 2022
| 0000000020138| 0000000019969| 0000000000307| Sun Jan  9 17:36:17 2022
| 0000000019794| 0000000020023| 0000000000467| Sun Jan  9 17:36:17 2022
| 0000000019765| -000000000001| 0000000000029| Sun Jan  9 17:36:18 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000020653| 0000000019860| 0000000000203| Sun Jan  9 17:36:17 2022
| 0000000019954| 0000000020030| 0000000000056| Sun Jan  9 17:36:17 2022
| 0000000019981| 0000000019904| 0000000000329| Sun Jan  9 17:36:17 2022
| 0000000020324| 0000000020045| 0000000000181| Sun Jan  9 17:36:17 2022
| 0000000020614| 0000000019844| 0000000000244| Sun Jan  9 17:36:17 2022
| 0000000020700| 0000000019851| 0000000000251| Sun Jan  9 17:36:17 2022
| 0000000020397| 0000000019903| 0000000000109| Sun Jan  9 17:36:17 2022
| 0000000019887| 0000000020096| 0000000000172| Sun Jan  9 17:36:17 2022
| 0000000020219| 0000000020083| 0000000000481| Sun Jan  9 17:36:17 2022
