| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006892| 0000000006887| 0000000001951| Thu Jan  6 16:46:27 2022
| 0000000006901| 0000000006900| 0000000003681| Thu Jan  6 16:46:27 2022
| 0000000006889| 0000000006890| 0000000003076| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006886| 0000000004107| Thu Jan  6 16:46:27 2022
| 0000000006897| 0000000006898| 0000000004629| Thu Jan  6 16:46:27 2022
| 0000000006889| 0000000006899| 0000000001711| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006888| 0000000002390| Thu Jan  6 16:46:27 2022
| 0000000006885| 0000000006892| 0000000001136| Thu Jan  6 16:46:27 2022
| 0000000006896| 0000000006895| 0000000003028| Thu Jan  6 16:46:27 2022
| 0000000006878| -000000000001| 0000000000256| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006898| 0000000006885| 0000000004633| Thu Jan  6 16:46:27 2022
| 0000000006888| 0000000006893| 0000000004658| Thu Jan  6 16:46:27 2022
| 0000000006882| 0000000006887| 0000000003699| Thu Jan  6 16:46:27 2022
| 0000000006886| 0000000006894| 0000000001863| Thu Jan  6 16:46:27 2022
| 0000000006896| 0000000006899| 0000000002679| Thu Jan  6 16:46:27 2022
| 0000000006901| 0000000006884| 0000000001315| Thu Jan  6 16:46:27 2022
| 0000000006897| 0000000006898| 0000000002550| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006894| 0000000000440| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006901| 0000000002376| Thu Jan  6 16:46:27 2022
| 0000000006877| -000000000001| 0000000000241| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006887| 0000000006884| 0000000004501| Thu Jan  6 16:46:27 2022
| 0000000006894| 0000000006890| 0000000001881| Thu Jan  6 16:46:27 2022
| 0000000006893| 0000000006886| 0000000001868| Thu Jan  6 16:46:27 2022
| 0000000006890| 0000000006882| 0000000001344| Thu Jan  6 16:46:27 2022
| 0000000006888| 0000000006893| 0000000001307| Thu Jan  6 16:46:27 2022
| 0000000006888| 0000000006886| 0000000001779| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006890| 0000000001225| Thu Jan  6 16:46:27 2022
| 0000000006896| 0000000006894| 0000000001043| Thu Jan  6 16:46:27 2022
| 0000000006892| 0000000006897| 0000000000911| Thu Jan  6 16:46:27 2022
| 0000000006876| -000000000001| 0000000000156| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006885| 0000000006897| 0000000004608| Thu Jan  6 16:46:27 2022
| 0000000006899| 0000000006901| 0000000001670| Thu Jan  6 16:46:27 2022
| 0000000006894| 0000000006885| 0000000001637| Thu Jan  6 16:46:27 2022
| 0000000006900| 0000000006889| 0000000004251| Thu Jan  6 16:46:27 2022
| 0000000006896| 0000000006887| 0000000001683| Thu Jan  6 16:46:27 2022
| 0000000006884| 0000000006889| 0000000001477| Thu Jan  6 16:46:27 2022
| 0000000006893| 0000000006892| 0000000002207| Thu Jan  6 16:46:27 2022
| 0000000006885| 0000000006889| 0000000001057| Thu Jan  6 16:46:27 2022
| 0000000006899| 0000000006890| 0000000000803| Thu Jan  6 16:46:27 2022
| 0000000006881| -000000000001| 0000000000191| Thu Jan  6 16:46:27 2022

