| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010960| 0000000010956| 0000000007062| Fri Jan  7 21:32:05 2022
| 0000000010950| 0000000010954| 0000000001028| Fri Jan  7 21:32:05 2022
| 0000000010946| 0000000010965| 0000000000100| Fri Jan  7 21:32:05 2022
| 0000000010961| 0000000010958| 0000000005981| Fri Jan  7 21:32:05 2022
| 0000000010964| 0000000010950| 0000000000607| Fri Jan  7 21:32:05 2022
| 0000000010947| 0000000010946| 0000000003305| Fri Jan  7 21:32:05 2022
| 0000000010950| 0000000010954| 0000000002771| Fri Jan  7 21:32:05 2022
| 0000000010946| 0000000010949| 0000000000009| Fri Jan  7 21:32:05 2022
| 0000000010954| 0000000010946| 0000000000153| Fri Jan  7 21:32:05 2022
| 0000000010937| -000000000001| 0000000000210| Fri Jan  7 21:32:05 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010953| 0000000010963| 0000000000203| Fri Jan  7 21:32:05 2022
| 0000000010963| 0000000010949| 0000000000596| Fri Jan  7 21:32:05 2022
| 0000000010962| 0000000010952| 0000000000121| Fri Jan  7 21:32:05 2022
| 0000000010958| 0000000010965| 0000000000075| Fri Jan  7 21:32:05 2022
| 0000000010955| 0000000010953| 0000000000134| Fri Jan  7 21:32:05 2022
| 0000000010964| 0000000010951| 0000000001408| Fri Jan  7 21:32:05 2022
| 0000000010952| 0000000010961| 0000000002632| Fri Jan  7 21:32:05 2022
| 0000000010963| 0000000010948| 0000000000247| Fri Jan  7 21:32:05 2022
| 0000000010955| 0000000010964| 0000000001089| Fri Jan  7 21:32:05 2022
| 0000000010943| -000000000001| 0000000000064| Fri Jan  7 21:32:05 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010951| 0000000010954| 0000000002642| Fri Jan  7 21:32:05 2022
| 0000000010957| 0000000010965| 0000000009699| Fri Jan  7 21:32:05 2022
| 0000000010949| 0000000010946| 0000000000787| Fri Jan  7 21:32:05 2022
| 0000000010964| 0000000010952| 0000000007285| Fri Jan  7 21:32:05 2022
| 0000000010947| 0000000010963| 0000000000009| Fri Jan  7 21:32:05 2022
| 0000000010958| 0000000010950| 0000000000068| Fri Jan  7 21:32:05 2022
| 0000000010946| 0000000010947| 0000000002246| Fri Jan  7 21:32:05 2022
| 0000000010954| 0000000010956| 0000000000157| Fri Jan  7 21:32:05 2022
| 0000000010952| 0000000010956| 0000000000391| Fri Jan  7 21:32:05 2022
| 0000000010945| -000000000001| 0000000000231| Fri Jan  7 21:32:05 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010949| 0000000010957| 0000000002619| Fri Jan  7 21:32:05 2022
| 0000000010946| 0000000010961| 0000000005637| Fri Jan  7 21:32:05 2022
| 0000000010964| 0000000010963| 0000000009627| Fri Jan  7 21:32:05 2022
| 0000000010950| 0000000010947| 0000000002292| Fri Jan  7 21:32:05 2022
| 0000000010948| 0000000010957| 0000000000144| Fri Jan  7 21:32:05 2022
| 0000000010965| 0000000010959| 0000000002638| Fri Jan  7 21:32:05 2022
| 0000000010965| 0000000010960| 0000000000052| Fri Jan  7 21:32:05 2022
| 0000000010946| 0000000010958| 0000000000022| Fri Jan  7 21:32:05 2022
| 0000000010955| 0000000010954| 0000000000235| Fri Jan  7 21:32:05 2022
| 0000000010936| -000000000001| 0000000000233| Fri Jan  7 21:32:05 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010957| 0000000010955| 0000000009894| Fri Jan  7 21:32:05 2022
| 0000000010951| 0000000010953| 0000000001651| Fri Jan  7 21:32:05 2022
| 0000000010962| 0000000010960| 0000000007175| Fri Jan  7 21:32:05 2022
| 0000000010951| 0000000010956| 0000000001853| Fri Jan  7 21:32:05 2022
| 0000000010956| 0000000010957| 0000000006204| Fri Jan  7 21:32:05 2022
| 0000000010949| 0000000010965| 0000000000013| Fri Jan  7 21:32:05 2022
| 0000000010955| 0000000010963| 0000000000728| Fri Jan  7 21:32:05 2022
| 0000000010953| 0000000010951| 0000000005966| Fri Jan  7 21:32:05 2022
| 0000000010953| 0000000010956| 0000000000174| Fri Jan  7 21:32:05 2022
| 0000000010941| -000000000001| 0000000000336| Fri Jan  7 21:32:05 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000010946| 0000000010962| 0000000000313| Fri Jan  7 21:32:05 2022
| 0000000010947| 0000000010964| 0000000000279| Fri Jan  7 21:32:05 2022
| 0000000010949| 0000000010955| 0000000000006| Fri Jan  7 21:32:05 2022
| 0000000010949| 0000000010953| 0000000000479| Fri Jan  7 21:32:05 2022
