| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064547| 0000000064538| 0000000003629| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064541| 0000000004380| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064544| 0000000003586| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064543| 0000000002480| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064550| 0000000002660| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064532| 0000000002831| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064537| 0000000002727| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064534| 0000000001623| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064547| 0000000000352| Fri Jan  7 22:00:02 2022
| 0000000064524| -000000000001| 0000000000241| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064541| 0000000064533| 0000000000268| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064543| 0000000003597| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064536| 0000000002276| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064549| 0000000000970| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064540| 0000000000745| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064550| 0000000001358| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064546| 0000000002068| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064534| 0000000001319| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064533| 0000000001772| Fri Jan  7 22:00:02 2022
| 0000000064522| -000000000001| 0000000000139| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064531| 0000000064545| 0000000003250| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064539| 0000000000810| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064532| 0000000000952| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064531| 0000000000439| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064545| 0000000002373| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064539| 0000000002708| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064549| 0000000000456| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064539| 0000000001092| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064549| 0000000001104| Fri Jan  7 22:00:02 2022
| 0000000064529| -000000000001| 0000000000129| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064531| 0000000064543| 0000000001526| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064534| 0000000002821| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064535| 0000000002842| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064536| 0000000002275| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064547| 0000000003162| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064542| 0000000001777| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064546| 0000000001462| Fri Jan  7 22:00:02 2022
| 0000000064540| 0000000064548| 0000000003397| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064543| 0000000000836| Fri Jan  7 22:00:02 2022
| 0000000064530| -000000000001| 0000000000197| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064547| 0000000064544| 0000000001826| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064536| 0000000001039| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064540| 0000000000135| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064550| 0000000005060| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064538| 0000000002877| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064539| 0000000000945| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064533| 0000000001593| Fri Jan  7 22:00:02 2022
