| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046197| 0000000046185| 0000000000260| Tue Jan  4 23:14:12 2022
| 0000000046194| 0000000046199| 0000000000637| Tue Jan  4 23:14:12 2022
| 0000000046189| 0000000046188| 0000000000021| Tue Jan  4 23:14:12 2022
| 0000000046192| 0000000046188| 0000000000398| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046191| 0000000000184| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046187| 0000000000025| Tue Jan  4 23:14:13 2022
| 0000000046193| 0000000046192| 0000000000547| Tue Jan  4 23:14:13 2022
| 0000000046199| 0000000046197| 0000000000114| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046184| 0000000000180| Tue Jan  4 23:14:13 2022
| 0000000046172| -000000000001| 0000000000258| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046193| 0000000046187| 0000000000748| Tue Jan  4 23:14:12 2022
| 0000000046197| 0000000046194| 0000000000130| Tue Jan  4 23:14:12 2022
| 0000000046190| 0000000046193| 0000000000181| Tue Jan  4 23:14:12 2022
| 0000000046192| 0000000046195| 0000000000233| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046194| 0000000000234| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046184| 0000000000314| Tue Jan  4 23:14:13 2022
| 0000000046186| 0000000046193| 0000000000402| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046182| 0000000000160| Tue Jan  4 23:14:13 2022
| 0000000046194| 0000000046199| 0000000000122| Tue Jan  4 23:14:13 2022
| 0000000046176| -000000000001| 0000000000275| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046194| 0000000046198| 0000000000544| Tue Jan  4 23:14:12 2022
| 0000000046188| 0000000046201| 0000000000347| Tue Jan  4 23:14:12 2022
| 0000000046201| 0000000046196| 0000000000492| Tue Jan  4 23:14:12 2022
| 0000000046193| 0000000046185| 0000000000010| Tue Jan  4 23:14:13 2022
| 0000000046193| 0000000046199| 0000000000190| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046200| 0000000000122| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046198| 0000000000225| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046189| 0000000000615| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046185| 0000000000359| Tue Jan  4 23:14:13 2022
| 0000000046178| -000000000001| 0000000000319| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046195| 0000000046200| 0000000000400| Tue Jan  4 23:14:12 2022
| 0000000046196| 0000000046182| 0000000000271| Tue Jan  4 23:14:13 2022
| 0000000046185| 0000000046201| 0000000000333| Tue Jan  4 23:14:13 2022
| 0000000046188| 0000000046192| 0000000000081| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046193| 0000000000090| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046191| 0000000000028| Tue Jan  4 23:14:13 2022
| 0000000046187| 0000000046186| 0000000000014| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046201| 0000000000094| Tue Jan  4 23:14:13 2022
| 0000000046195| 0000000046184| 0000000000003| Tue Jan  4 23:14:13 2022
| 0000000046175| -000000000001| 0000000000143| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046193| 0000000046197| 0000000000008| Tue Jan  4 23:14:12 2022
| 0000000046182| 0000000046190| 0000000000216| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046183| 0000000000229| Tue Jan  4 23:14:13 2022
| 0000000046195| 0000000046196| 0000000000165| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046190| 0000000000020| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046183| 0000000000013| Tue Jan  4 23:14:13 2022
| 0000000046192| 0000000046195| 0000000000061| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046196| 0000000000132| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046193| 0000000000661| Tue Jan  4 23:14:13 2022
| 0000000046174| -000000000001| 0000000000164| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046190| 0000000046195| 0000000000455| Tue Jan  4 23:14:12 2022
| 0000000046194| 0000000046191| 0000000000767| Tue Jan  4 23:14:12 2022
| 0000000046185| 0000000046184| 0000000000483| Tue Jan  4 23:14:12 2022
| 0000000046184| 0000000046198| 0000000000004| Tue Jan  4 23:14:13 2022
| 0000000046183| 0000000046189| 0000000000058| Tue Jan  4 23:14:13 2022
| 0000000046186| 0000000046194| 0000000000297| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046192| 0000000000270| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046187| 0000000000055| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046194| 0000000000438| Tue Jan  4 23:14:13 2022
| 0000000046179| -000000000001| 0000000000311| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046190| 0000000046183| 0000000000686| Tue Jan  4 23:14:12 2022
| 0000000046193| 0000000046187| 0000000000036| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046197| 0000000001600| Tue Jan  4 23:14:13 2022
| 0000000046183| 0000000046186| 0000000000522| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046199| 0000000000005| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046189| 0000000000050| Tue Jan  4 23:14:13 2022
| 0000000046185| 0000000046183| 0000000000050| Tue Jan  4 23:14:13 2022
| 0000000046191| 0000000046195| 0000000000205| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046189| 0000000000067| Tue Jan  4 23:14:13 2022
| 0000000046177| -000000000001| 0000000000354| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046194| 0000000046192| 0000000000299| Tue Jan  4 23:14:12 2022
| 0000000046194| 0000000046190| 0000000000756| Tue Jan  4 23:14:12 2022
| 0000000046196| 0000000046189| 0000000000117| Tue Jan  4 23:14:12 2022
| 0000000046190| 0000000046186| 0000000000259| Tue Jan  4 23:14:13 2022
| 0000000046191| 0000000046188| 0000000000230| Tue Jan  4 23:14:13 2022
