| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019194| 0000000019062| 0000000000162| Wed Jan  5 14:06:53 2022
| 0000000019164| 0000000019006| 0000000000001| Wed Jan  5 14:06:53 2022
| 0000000019251| 0000000019071| 0000000000415| Wed Jan  5 14:06:53 2022
| 0000000019408| 0000000019330| 0000000000468| Wed Jan  5 14:06:53 2022
| 0000000019405| 0000000019242| 0000000000639| Wed Jan  5 14:06:53 2022
| 0000000019080| 0000000019184| 0000000000829| Wed Jan  5 14:06:53 2022
| 0000000019264| 0000000019254| 0000000000662| Wed Jan  5 14:06:53 2022
| 0000000019138| 0000000018986| 0000000000273| Wed Jan  5 14:06:53 2022
| 0000000019328| 0000000019018| 0000000000297| Wed Jan  5 14:06:53 2022
| 0000000018973| -000000000001| 0000000000414| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019145| 0000000019107| 0000000000350| Wed Jan  5 14:06:53 2022
| 0000000019135| 0000000019010| 0000000000544| Wed Jan  5 14:06:53 2022
| 0000000019000| 0000000019245| 0000000000334| Wed Jan  5 14:06:53 2022
| 0000000019008| 0000000019136| 0000000000160| Wed Jan  5 14:06:53 2022
| 0000000019025| 0000000019286| 0000000000119| Wed Jan  5 14:06:53 2022
| 0000000019287| 0000000019016| 0000000000443| Wed Jan  5 14:06:53 2022
| 0000000019127| 0000000019332| 0000000000287| Wed Jan  5 14:06:53 2022
| 0000000019231| 0000000019377| 0000000000480| Wed Jan  5 14:06:53 2022
| 0000000019299| 0000000019025| 0000000000806| Wed Jan  5 14:06:53 2022
| 0000000018977| -000000000001| 0000000000387| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019294| 0000000019075| 0000000000459| Wed Jan  5 14:06:53 2022
| 0000000019415| 0000000019145| 0000000000496| Wed Jan  5 14:06:53 2022
| 0000000019230| 0000000019147| 0000000000114| Wed Jan  5 14:06:53 2022
| 0000000019222| 0000000019249| 0000000000733| Wed Jan  5 14:06:53 2022
| 0000000019324| 0000000019082| 0000000000018| Wed Jan  5 14:06:53 2022
| 0000000019280| 0000000019336| 0000000000678| Wed Jan  5 14:06:53 2022
| 0000000019350| 0000000018992| 0000000000780| Wed Jan  5 14:06:53 2022
| 0000000019132| 0000000019360| 0000000000099| Wed Jan  5 14:06:53 2022
| 0000000018986| 0000000018988| 0000000000624| Wed Jan  5 14:06:53 2022
| 0000000018976| -000000000001| 0000000000440| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019211| 0000000019067| 0000000000435| Wed Jan  5 14:06:53 2022
| 0000000018983| 0000000018994| 0000000000151| Wed Jan  5 14:06:53 2022
| 0000000019132| 0000000019256| 0000000000018| Wed Jan  5 14:06:53 2022
| 0000000019206| 0000000019221| 0000000000566| Wed Jan  5 14:06:53 2022
| 0000000019132| 0000000019223| 0000000000527| Wed Jan  5 14:06:53 2022
| 0000000019199| 0000000019205| 0000000000884| Wed Jan  5 14:06:53 2022
| 0000000019347| 0000000019153| 0000000000870| Wed Jan  5 14:06:53 2022
| 0000000019022| 0000000019143| 0000000000809| Wed Jan  5 14:06:53 2022
| 0000000019364| 0000000019238| 0000000000337| Wed Jan  5 14:06:53 2022
| 0000000018974| -000000000001| 0000000000505| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019340| 0000000019105| 0000000000628| Wed Jan  5 14:06:53 2022
| 0000000019164| 0000000019134| 0000000000222| Wed Jan  5 14:06:53 2022
| 0000000019096| 0000000019077| 0000000000666| Wed Jan  5 14:06:53 2022
| 0000000019023| 0000000019251| 0000000000328| Wed Jan  5 14:06:53 2022
| 0000000019297| 0000000019133| 0000000000529| Wed Jan  5 14:06:53 2022
| 0000000019103| 0000000019079| 0000000000661| Wed Jan  5 14:06:53 2022
| 0000000019106| 0000000019012| 0000000000137| Wed Jan  5 14:06:53 2022
| 0000000019346| 0000000018993| 0000000000019| Wed Jan  5 14:06:53 2022
| 0000000019001| 0000000019295| 0000000000801| Wed Jan  5 14:06:53 2022
| 0000000018979| -000000000001| 0000000000440| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019004| 0000000019063| 0000000000338| Wed Jan  5 14:06:53 2022
| 0000000019269| 0000000019108| 0000000000211| Wed Jan  5 14:06:53 2022
| 0000000019339| 0000000019078| 0000000000652| Wed Jan  5 14:06:53 2022
| 0000000019086| 0000000019162| 0000000000603| Wed Jan  5 14:06:53 2022
| 0000000019065| 0000000019423| 0000000000758| Wed Jan  5 14:06:53 2022
| 0000000019095| 0000000019013| 0000000000051| Wed Jan  5 14:06:53 2022
| 0000000019301| 0000000019329| 0000000000392| Wed Jan  5 14:06:53 2022
| 0000000019410| 0000000019022| 0000000000513| Wed Jan  5 14:06:53 2022
| 0000000019075| 0000000019220| 0000000000448| Wed Jan  5 14:06:53 2022
| 0000000018980| -000000000001| 0000000000436| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019321| 0000000019008| 0000000000810| Wed Jan  5 14:06:53 2022
| 0000000019013| 0000000019140| 0000000000166| Wed Jan  5 14:06:53 2022
| 0000000019363| 0000000019011| 0000000000753| Wed Jan  5 14:06:53 2022
| 0000000019018| 0000000019142| 0000000000887| Wed Jan  5 14:06:53 2022
