| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000013288| 0000000013118| 0000000000824| Wed Jan  5 15:57:28 2022
| 0000000013529| 0000000013206| 0000000000978| Wed Jan  5 15:57:28 2022
| 0000000013384| 0000000013168| 0000000000817| Wed Jan  5 15:57:28 2022
| 0000000013234| 0000000013256| 0000000000500| Wed Jan  5 15:57:28 2022
| 0000000013300| 0000000013224| 0000000000914| Wed Jan  5 15:57:28 2022
| 0000000013529| 0000000013279| 0000000000771| Wed Jan  5 15:57:28 2022
| 0000000013438| 0000000013280| 0000000000891| Wed Jan  5 15:57:28 2022
| 0000000013258| 0000000013196| 0000000000742| Wed Jan  5 15:57:28 2022
| 0000000013469| 0000000013291| 0000000000184| Wed Jan  5 15:57:28 2022
| 0000000013217| 0000000013264| 0000000000014| Wed Jan  5 15:57:28 2022
| 0000000013475| 0000000013265| 0000000000279| Wed Jan  5 15:57:28 2022
| 0000000013355| 0000000013266| 0000000000480| Wed Jan  5 15:57:28 2022
| 0000000013160| 0000000013386| 0000000000879| Wed Jan  5 15:57:28 2022
| 0000000013440| 0000000013413| 0000000000016| Wed Jan  5 15:57:28 2022
| 0000000013359| 0000000013308| 0000000000582| Wed Jan  5 15:57:28 2022
| 0000000013342| 0000000013315| 0000000000605| Wed Jan  5 15:57:28 2022
| 0000000013417| 0000000013351| 0000000000952| Wed Jan  5 15:57:28 2022
| 0000000013434| 0000000013228| 0000000000079| Wed Jan  5 15:57:28 2022
| 0000000013285| 0000000013329| 0000000000317| Wed Jan  5 15:57:28 2022
| 0000000013470| 0000000013330| 0000000000522| Wed Jan  5 15:57:28 2022
| 0000000013401| 0000000013334| 0000000000195| Wed Jan  5 15:57:28 2022
| 0000000013313| 0000000013376| 0000000000448| Wed Jan  5 15:57:28 2022
| 0000000013219| 0000000013137| 0000000000317| Wed Jan  5 15:57:28 2022
| 0000000013179| 0000000013421| 0000000000405| Wed Jan  5 15:57:28 2022
| 0000000013266| 0000000013367| 0000000000209| Wed Jan  5 15:57:28 2022
| 0000000013550| 0000000013131| 0000000000084| Wed Jan  5 15:57:28 2022
| 0000000013156| 0000000013548| 0000000000981| Wed Jan  5 15:57:28 2022
| 0000000013126| 0000000013507| 0000000000740| Wed Jan  5 15:57:28 2022
| 0000000013237| 0000000013512| 0000000000811| Wed Jan  5 15:57:28 2022
| 0000000013078| 0000000013140| 0000000000460| Wed Jan  5 15:57:28 2022
| 0000000013476| 0000000013103| 0000000000798| Wed Jan  5 15:57:28 2022
| 0000000013254| 0000000013125| 0000000000048| Wed Jan  5 15:57:28 2022
| 0000000013102| 0000000013085| 0000000000922| Wed Jan  5 15:57:28 2022
| 0000000013129| 0000000013437| 0000000000844| Wed Jan  5 15:57:28 2022
| 0000000013208| 0000000013430| 0000000000589| Wed Jan  5 15:57:28 2022
| 0000000013235| 0000000013462| 0000000000882| Wed Jan  5 15:57:28 2022
| 0000000013493| 0000000013252| 0000000000615| Wed Jan  5 15:57:28 2022
| 0000000013288| 0000000013145| 0000000000975| Wed Jan  5 15:57:28 2022
| 0000000013238| 0000000013443| 0000000000431| Wed Jan  5 15:57:28 2022
| 0000000013552| 0000000013461| 0000000000807| Wed Jan  5 15:57:28 2022
| 0000000013244| 0000000013463| 0000000000127| Wed Jan  5 15:57:28 2022
| 0000000013356| 0000000013119| 0000000000297| Wed Jan  5 15:57:28 2022
| 0000000013355| 0000000013481| 0000000000529| Wed Jan  5 15:57:28 2022
| 0000000013373| 0000000013480| 0000000000652| Wed Jan  5 15:57:28 2022
| 0000000013372| 0000000013107| 0000000000936| Wed Jan  5 15:57:28 2022
| 0000000013196| 0000000013511| 0000000000330| Wed Jan  5 15:57:28 2022
| 0000000013259| 0000000013436| 0000000000696| Wed Jan  5 15:57:28 2022
| 0000000013227| 0000000013065| 0000000000164| Wed Jan  5 15:57:28 2022
| 0000000013409| 0000000013373| 0000000000138| Wed Jan  5 15:57:28 2022
| 0000000013289| 0000000013217| 0000000000225| Wed Jan  5 15:57:28 2022
| 0000000013193| 0000000013236| 0000000000096| Wed Jan  5 15:57:28 2022
| 0000000013111| 0000000013241| 0000000000642| Wed Jan  5 15:57:28 2022
| 0000000013099| 0000000013254| 0000000000035| Wed Jan  5 15:57:28 2022
| 0000000013074| 0000000013220| 0000000000252| Wed Jan  5 15:57:28 2022
| 0000000013085| 0000000013224| 0000000000056| Wed Jan  5 15:57:28 2022
| 0000000013195| 0000000013227| 0000000000757| Wed Jan  5 15:57:28 2022
| 0000000013187| 0000000013162| 0000000000121| Wed Jan  5 15:57:28 2022
| 0000000013288| 0000000013275| 0000000000140| Wed Jan  5 15:57:28 2022
| 0000000013549| 0000000013234| 0000000000798| Wed Jan  5 15:57:28 2022
| 0000000013161| 0000000013282| 0000000000150| Wed Jan  5 15:57:28 2022
| 0000000013396| 0000000013196| 0000000000020| Wed Jan  5 15:57:28 2022
| 0000000013259| 0000000013251| 0000000000579| Wed Jan  5 15:57:28 2022
| 0000000013112| 0000000013203| 0000000000079| Wed Jan  5 15:57:28 2022
| 0000000013187| 0000000013288| 0000000000108| Wed Jan  5 15:57:28 2022
| 0000000013386| 0000000013345| 0000000000751| Wed Jan  5 15:57:28 2022
| 0000000013322| 0000000013259| 0000000000202| Wed Jan  5 15:57:28 2022
| 0000000013506| 0000000013385| 0000000000029| Wed Jan  5 15:57:28 2022
| 0000000013185| 0000000013413| 0000000000292| Wed Jan  5 15:57:28 2022
| 0000000013439| 0000000013306| 0000000000359| Wed Jan  5 15:57:28 2022
| 0000000013462| 0000000013200| 0000000000103| Wed Jan  5 15:57:28 2022
| 0000000013156| 0000000013417| 0000000000116| Wed Jan  5 15:57:28 2022
| 0000000013466| 0000000013083| 0000000000427| Wed Jan  5 15:57:28 2022
| 0000000013106| 0000000013319| 0000000000660| Wed Jan  5 15:57:28 2022
| 0000000013191| 0000000013320| 0000000000710| Wed Jan  5 15:57:28 2022
| 0000000013101| 0000000013323| 0000000000145| Wed Jan  5 15:57:28 2022
| 0000000013393| 0000000013351| 0000000000018| Wed Jan  5 15:57:28 2022
| 0000000013214| 0000000013440| 0000000000221| Wed Jan  5 15:57:28 2022
| 0000000013348| 0000000013356| 0000000000100| Wed Jan  5 15:57:28 2022
| 0000000013443| 0000000013370| 0000000000183| Wed Jan  5 15:57:28 2022
| 0000000013422| 0000000013338| 0000000000494| Wed Jan  5 15:57:28 2022
| 0000000013554| 0000000013381| 0000000000055| Wed Jan  5 15:57:28 2022
| 0000000013075| 0000000013352| 0000000000364| Wed Jan  5 15:57:28 2022
| 0000000013435| 0000000013353| 0000000000274| Wed Jan  5 15:57:28 2022
| 0000000013097| 0000000013355| 0000000000128| Wed Jan  5 15:57:28 2022
| 0000000013146| 0000000013412| 0000000000172| Wed Jan  5 15:57:28 2022
| 0000000013212| 0000000013364| 0000000000008| Wed Jan  5 15:57:28 2022
| 0000000013286| 0000000013418| 0000000000047| Wed Jan  5 15:57:28 2022
| 0000000013462| 0000000013421| 0000000000444| Wed Jan  5 15:57:28 2022
| 0000000013088| 0000000013371| 0000000000287| Wed Jan  5 15:57:28 2022
| 0000000013549| 0000000013393| 0000000000020| Wed Jan  5 15:57:28 2022
| 0000000013273| 0000000013464| 0000000000069| Wed Jan  5 15:57:28 2022
| 0000000013188| 0000000013552| 0000000000153| Wed Jan  5 15:57:28 2022
| 0000000013486| 0000000013507| 0000000000012| Wed Jan  5 15:57:28 2022
| 0000000013356| 0000000013085| 0000000000046| Wed Jan  5 15:57:28 2022
| 0000000013161| 0000000013105| 0000000000359| Wed Jan  5 15:57:28 2022
| 0000000013520| 0000000013252| 0000000000107| Wed Jan  5 15:57:28 2022
